iter,being_id,position_x,position_y,age
1,skunk_p71,0.0,0.0,0
1,skunk_p19,0.0,0.0,0
1,skunk_p39,0.0,0.0,0
1,skunk_p51,0.0,0.0,0
1,skunk_p55,0.0,0.0,0
1,skunk_p74,0.0,0.0,0
1,skunk_p65,0.0,0.0,0
1,skunk_p87,0.0,0.0,0
1,skunk_p80,0.0,0.0,0
1,skunk_p85,0.0,0.0,0
1,skunk_p49,0.0,0.0,0
1,skunk_p63,0.0,0.0,0
1,skunk_p38,0.0,0.0,0
1,skunk_p16,0.0,0.0,0
1,skunk_p48,0.0,0.0,0
1,skunk_p36,0.0,0.0,0
1,skunk_p89,0.0,0.0,0
1,skunk_p2,0.0,0.0,0
1,skunk_p3,0.0,0.0,0
1,skunk_p41,0.0,0.0,0
1,skunk_p54,0.0,0.0,0
1,skunk_p57,0.0,0.0,0
1,skunk_p72,0.0,0.0,0
1,skunk_p40,0.0,0.0,0
1,skunk_p12,0.0,0.0,0
1,skunk_p66,0.0,0.0,0
1,skunk_p64,0.0,0.0,0
1,skunk_p15,0.0,0.0,0
1,skunk_p35,0.0,0.0,0
1,skunk_p77,0.0,0.0,0
1,skunk_p78,0.0,0.0,0
1,skunk_p92,0.0,0.0,0
1,skunk_p14,0.0,0.0,0
1,skunk_p58,0.0,0.0,0
1,skunk_p42,0.0,0.0,0
1,skunk_p1,0.0,0.0,0
1,skunk_p46,0.0,0.0,0
1,skunk_p56,0.0,0.0,0
1,skunk_p82,0.0,0.0,0
1,skunk_p99,0.0,0.0,0
1,skunk_p96,0.0,0.0,0
1,skunk_p70,0.0,0.0,0
1,skunk_p5,0.0,0.0,0
1,skunk_p59,0.0,0.0,0
1,skunk_p6,0.0,0.0,0
1,skunk_p52,0.0,0.0,0
1,skunk_p90,0.0,0.0,0
1,skunk_p61,0.0,0.0,0
1,skunk_p93,0.0,0.0,0
1,skunk_p91,0.0,0.0,0
1,skunk_p8,0.0,0.0,0
1,skunk_p60,0.0,0.0,0
1,skunk_p7,0.0,0.0,0
1,skunk_p29,0.0,0.0,0
1,skunk_p10,0.0,0.0,0
1,skunk_p4,0.0,0.0,0
1,skunk_p97,0.0,0.0,0
1,skunk_p62,0.0,0.0,0
1,skunk_p26,0.0,0.0,0
1,skunk_p83,0.0,0.0,0
1,skunk_p25,0.0,0.0,0
1,skunk_p9,0.0,0.0,0
1,skunk_p34,0.0,0.0,0
1,skunk_p76,0.0,0.0,0
1,skunk_p86,0.0,0.0,0
